task_name,main_parameter_name,main_parameter_value,variant,fp32_n_valid,fp32_n_total,fp32_bad_rate,fp32_median_best_l2,fp32_mean_best_l2,fp32_min_best_l2,fp32_max_best_l2,fp64_n_valid,fp64_n_total,fp64_bad_rate,fp64_median_best_l2,fp64_mean_best_l2,fp64_min_best_l2,fp64_max_best_l2,fp64_over_fp32_median,fp64_over_fp32_mean,conclusion
helmholtz1d,m,10.0,resample_5k,2,2,1.0,0.845535010099411,0.845535010099411,0.8018308877944946,0.8892391324043274,2,2,0.5,0.42695783875159615,0.42695783875159615,0.0362062492301714,0.817709428273021,0.5049558370166103,0.5049558370166103,unstable_or_seed_sensitive
helmholtz1d,m,10.0,resample_wide_256,2,2,0.5,0.5307801514863968,0.5307801514863968,0.0617046654224395,0.999855637550354,2,2,0.5,0.5009812977420637,0.5009812977420637,0.0030693868074505,0.998893208676677,0.9438583872044115,0.9438583872044115,unstable_or_seed_sensitive
helmholtz1d,m,10.0,soft_lbfgs,2,2,0.5,0.4684511683881282,0.4684511683881282,0.0476632043719291,0.8892391324043274,2,2,0.0,0.025462110616578302,0.025462110616578302,0.0064769029828551,0.0444473182503015,0.05435382028011519,0.05435382028011519,unstable_or_seed_sensitive
helmholtz1d,m,10.0,softer_lbfgs,2,2,1.0,0.845535010099411,0.845535010099411,0.8018308877944946,0.8892391324043274,2,2,0.0,0.07365927038022299,0.07365927038022299,0.0537387129381762,0.0935798278222698,0.08711557712029304,0.08711557712029304,unstable_or_seed_sensitive
helmholtz1d,m,10.0,width192_adam1e4_lbfgs05_steps1000_inner10_resample250,1,1,0.0,0.0020273081026971,0.0020273081026971,0.0020273081026971,0.0020273081026971,1,1,0.0,0.0031373256013443,0.0031373256013443,0.0031373256013443,0.0031373256013443,1.5475327095918225,1.5475327095918225,unstable_or_seed_sensitive
helmholtz1d,m,10.0,width192_adam1e4_lbfgs1_steps1000_inner10_resample250,1,1,0.0,0.0042583378963172,0.0042583378963172,0.0042583378963172,0.0042583378963172,1,1,0.0,0.0017293850808818,0.0017293850808818,0.0017293850808818,0.0017293850808818,0.40611739204102354,0.40611739204102354,unstable_or_seed_sensitive
helmholtz1d,m,10.0,width192_adam2e4_lbfgs05_steps1000_inner10_resample250,1,1,0.0,0.000743078882806,0.000743078882806,0.000743078882806,0.000743078882806,1,1,0.0,0.0017108366338082,0.0017108366338082,0.0017108366338082,0.0017108366338082,2.302362068678055,2.302362068678055,unstable_or_seed_sensitive
helmholtz1d,m,10.0,width192_adam2e4_lbfgs1_steps1000_inner10_resample250,1,1,0.0,0.0010800919262692,0.0010800919262692,0.0010800919262692,0.0010800919262692,1,1,0.0,0.0004881865048243,0.0004881865048243,0.0004881865048243,0.0004881865048243,0.45198606984367484,0.45198606984367484,unstable_or_seed_sensitive
helmholtz1d,m,10.0,width192_adam5e4_lbfgs05_steps1000_inner10_resample250,1,1,0.0,0.0034369314089417,0.0034369314089417,0.0034369314089417,0.0034369314089417,1,1,0.0,0.0025258841433677,0.0025258841433677,0.0025258841433677,0.0025258841433677,0.7349242224608348,0.7349242224608348,unstable_or_seed_sensitive
helmholtz1d,m,10.0,width192_adam5e4_lbfgs1_steps1000_inner10_resample250,1,1,0.0,0.0035879830829799,0.0035879830829799,0.0035879830829799,0.0035879830829799,1,1,0.0,0.0004545846478039,0.0004545846478039,0.0004545846478039,0.0004545846478039,0.12669643008081222,0.12669643008081222,unstable_or_seed_sensitive
